case_id,query,test_type,expected_intent,domain,difficulty,design_logic,tags,context,group_id,step
BASE-ab52a552,导航去最近的加油站,BASE,导航,general,2,测试基础导航指令,['导航'],,,
BASE-4da6a1f6,播放周杰伦的歌,BASE,音乐播放,general,2,测试歌手点歌功能,['音乐'],,,
BASE-69ebb304,调高空调温度,BASE,空调控制,general,2,测试温度调节指令,['车辆控制'],,,
BASE-053a188f,打电话给王总,BASE,电话通讯,general,2,测试联系人直呼拨打,['通讯'],,,
BASE-7a886644,现在几点,BASE,时间查询,general,2,测试基础信息查询,['系统功能'],,,
BASE-37c93bae,打开座椅加热,BASE,座椅控制,general,2,测试车辆功能控制,['车辆控制'],,,
BASE-7ed26a0b,明天天气怎么样,BASE,天气查询,general,2,测试天气预报功能,['信息服务'],,,
BASE-fbca9573,音量调小,BASE,音量控制,general,2,测试基础音量调节,['系统控制'],,,
BASE-687160c2,附近有没有充电桩,BASE,周边搜索,general,2,测试POI搜索功能,['导航'],,,
BASE-e54c1594,切换下一首歌,BASE,音乐控制,general,2,测试音乐切换指令,['音乐'],,,
BASE-97e66b93,打开内循环模式,BASE,空调模式,general,2,测试空调模式切换,['车辆控制'],,,
BASE-ad5314eb,关闭所有车窗,BASE,车窗控制,general,2,测试组合指令响应,['车辆控制'],,,
BASE-6ef0f05c,剩余续航多少公里,BASE,车辆信息,general,2,测试车辆状态查询,['车辆信息'],,,
BASE-8067ea7b,静音导航语音,BASE,导航设置,general,2,测试导航功能设置,['导航'],,,
BASE-c1f08d84,我想听交通广播,BASE,电台控制,general,2,测试广播功能调用,['娱乐'],,,
BASE-5d8145d3,胎压正常吗,BASE,胎压查询,general,2,测试车辆安全检测,['车辆信息'],,,
BASE-6885576c,打开行车记录仪,BASE,设备控制,general,2,测试车载设备控制,['车辆控制'],,,
BASE-2b821af5,调低座椅靠背,BASE,座椅调节,general,2,测试座椅多维度调节,['车辆控制'],,,
BASE-a556da7d,导航避开拥堵路段,BASE,路线偏好,general,2,测试导航策略设置,['导航'],,,
BASE-7192f4e7,关闭氛围灯,BASE,灯光控制,general,2,测试车内灯光系统,['车辆控制'],,,
BASE-55f25973,最近的通话记录,BASE,通讯记录,general,2,测试通讯功能延伸,['通讯'],,,
BASE-690e532d,打开自动驾驶,BASE,驾驶模式,general,2,测试高级驾驶功能,['车辆控制'],,,
BASE-c259564d,当前车速多少,BASE,车辆状态,general,2,测试实时车辆信息,['车辆信息'],,,
BASE-4b882ab3,收藏这首歌,BASE,音乐互动,general,2,测试音乐交互功能,['音乐'],,,
BASE-8ea047da,重置保养提醒,BASE,车辆维护,general,2,测试保养相关功能,['车辆信息'],,,
SYN-eb6bc10c,导航到最近的加油站,SYN,navigation,general,2,标准导航指令表达,[],,,
SYN-29a7e834,最近的加油站怎么走,SYN,navigation,general,2,疑问句式变体,[],,,
SYN-13dab4e4,带我去最近的加油站,SYN,navigation,general,2,第一人称指令转换,[],,,
SYN-e19fa2e8,帮我找最近的加油站,SYN,navigation,general,2,添加辅助动词「帮」,[],,,
SYN-4d632bb0,最近的加油站导航一下,SYN,navigation,general,2,倒装句式表达,[],,,
SYN-e4e73658,我要去最近的加油站,SYN,navigation,general,2,添加意愿词「要」,[],,,
SYN-a989a1e7,请带我去加油站最近的,SYN,navigation,general,2,调整修饰语顺序,[],,,
SYN-71cdcd79,导航最近的加油站谢谢,SYN,navigation,general,2,添加礼貌用语后缀,[],,,
SYN-ce6df2b2,附近哪里有加油站啊,SYN,navigation,general,2,口语化疑问词替换,[],,,
SYN-efb295ec,最近的加油站在哪儿,SYN,navigation,general,2,使用「哪儿」替代,[],,,
SYN-60e43606,帮我导行到最近的加油站,SYN,navigation,general,2,加入错别字干扰,[],,,
SYN-6997ef8b,那个…导航加油站最近,SYN,navigation,general,2,添加口头停顿标记,[],,,
SYN-583cbae1,给我导到最近的加油站,SYN,navigation,general,2,使用「给」字句式,[],,,
SYN-9128dc5a,找最近的加油站怎么走,SYN,navigation,general,2,混合动词组合,[],,,
SYN-5afa051b,请带路到最近的加油站,SYN,navigation,general,2,使用近义词「带路」,[],,,
SYN-3ea09bec,最近的加油站路线规划,SYN,navigation,general,2,专业术语替换,[],,,
SYN-c0a95a16,导航到离我最近的加油站,SYN,navigation,general,2,添加位置参照词,[],,,
SYN-3cf05028,最近的加油站在哪边啊,SYN,navigation,general,2,方向询问变体,[],,,
SYN-4825a7ad,现在要去最近的加油站,SYN,navigation,general,2,添加时间状语,[],,,
SYN-38c9e8d2,帮我定个最近的加油站,SYN,navigation,general,2,使用动词「定」替代,[],,,
SYN-e8b23701,最近的加油站能导航吗,SYN,navigation,general,2,疑问式语气转换,[],,,
SYN-71d8b7cd,请指引最近的加油站路线,SYN,navigation,general,2,使用正式动词「指引」,[],,,
SYN-5af1feb9,附近最近的加油站带我去,SYN,navigation,general,2,调整状语位置,[],,,
SYN-0cfb7a8f,我想导航去最近的加油站,SYN,navigation,general,2,添加委婉语气词,[],,,
SYN-cc864fd9,最近的加油站请开始导航,SYN,navigation,general,2,倒置动宾结构,[],,,
NOISE-4e051e36,呃帮我把导航调到公司吧,NOISE,route_adjust,general,2,导航调整需求加入开头语气词模拟犹豫,"['导航', '语气词']",,,
NOISE-4d825171,然后那个空调温度调低两度行吗,NOISE,ac_control,general,2,空调控制前加连接词模拟连贯指令,"['空调', '连接词']",,,
NOISE-2ce44aff,我想听嘛周杰伦的稻香,NOISE,play_music,general,2,音乐请求嵌入语气助词模拟口语化,"['音乐', '助词']",,,
NOISE-6a5abb4e,左后车窗是不是没关紧啦,NOISE,window_status,general,2,车窗状态询问句尾加语气词,"['车窗', '疑问']",,,
NOISE-e811e392,那个什么剩余电量还能跑多少,NOISE,battery_query,general,2,电量查询前加模糊指代词,"['电量', '模糊词']",,,
NOISE-4e83874d,附近呃有没有充电站啊,NOISE,poi_search,general,2,地点搜索中间插入犹豫词,"['POI', '犹豫']",,,
NOISE-8618bf55,然后然后切换到经典FM频道,NOISE,radio_control,general,2,重复连接词模拟指令修正过程,"['收音机', '重复']",,,
NOISE-117b2c57,是不是该保养了大概,NOISE,maintenance_remind,general,2,保养提醒句尾加模糊词降低确定性,"['保养', '模糊']",,,
NOISE-03193233,帮我找那个麦当劳吧,NOISE,poi_search,general,2,明确需求前加指示代词模拟回忆过程,"['POI', '指示词']",,,
NOISE-91a649e0,明天上午九点记得提醒我加油,NOISE,reminder_set,general,2,完整提醒指令测试自然停顿,"['提醒', '完整']",,,
NOISE-3bc9b373,雨刮器是不是开太快了啊,NOISE,wiper_control,general,2,设备控制转为疑问语气测试理解,"['雨刮', '疑问']",,,
NOISE-060e06b2,然后然后加油站还有多远,NOISE,poi_distance,general,2,重复连接词模拟连续多任务场景,"['导航', '多任务']",,,
SLANG-33c3cab1,导个航去三里屯大概得多久呀,SLANG,navigation,general,2,口语化导航请求带时间询问,['导航'],,,
SLANG-8262e7bf,歌单切一下行不哥们儿,SLANG,music_control,general,2,俚语化音乐切换请求,['音乐'],,,
SLANG-bc3e3d61,这地儿停车位好找不,SLANG,parking_query,general,2,口语化停车信息询问,['周边服务'],,,
SLANG-7da31c81,蓝牙咋连不上呢急死我了,SLANG,bluetooth_connect,general,2,带抱怨语气的设备连接问题,['设备'],,,
SLANG-077ed8de,空调开大点风呗冻成狗了,SLANG,ac_control,general,2,夸张化温度调节需求,['空调'],,,
SLANG-7a70aee0,语音助手你靠谱不,SLANG,fallback_intent,general,2,口语化系统可靠性询问,['系统'],,,
SLANG-21a7d93e,导航到最近的加油站急急急,SLANG,search_poi,general,2,三连急字强调紧迫性,['导航'],,,
SLANG-00775eb3,切歌切歌这首太难听,SLANG,music_control,general,2,重复动词强化操作意图,['音乐'],,,
SLANG-24573a39,打电话给老王快点儿的,SLANG,call_contact,general,2,催促式电话拨打指令,['通讯'],,,
SLANG-d041116f,现在油耗还剩多少公里哈,SLANG,vehicle_status,general,2,语气词结尾的车辆状态查询,['车况'],,,
SLANG-ca7f3c13,这路线靠谱嘛绕远道了吧,SLANG,route_optimize,general,2,质疑语气的路径确认,['导航'],,,
SLANG-88649f86,这儿附近有充电桩没,SLANG,charging_query,general,2,缩略语化的充电设施询问,['新能源'],,,
DIALECT-0a0c3b4e,导航去最近加油站咋个走,DIALECT,navigation_search,general,2,四川方言'咋个'替代'怎么'的口语化表达,['导航'],,,
DIALECT-e930c7d8,空调开大点儿嘛,DIALECT,ac_wind_adjust,general,2,西南地区'开大点儿'叠词使用,['空调'],,,
DIALECT-4f5ec3b1,这疙瘩有充电桩没,DIALECT,poi_search,general,2,北方方言'疙瘩'指代地点,['充电'],,,
DIALECT-88f0f789,给俺放首周杰伦的歌,DIALECT,music_play,general,2,山东方言'俺'替代'我',['音乐'],,,
DIALECT-6f6e24c8,雨刮器整快点噻,DIALECT,wiper_control,general,2,川渝地区'整'替代'开'的动词使用,['雨刮'],,,
DIALECT-b080bb9c,这天气忒热了开窗,DIALECT,window_control,general,2,华北方言'忒'替代'太'的程度副词,['车窗'],,,
DIALECT-aa03db3a,找个能吃饭的地界儿,DIALECT,poi_search,general,2,北京话'地界儿'指代场所,['导航'],,,
DIALECT-ebae61e4,把座椅往后挪巴挪巴,DIALECT,seat_adjust,general,2,东北方言'挪巴挪巴'叠词动作描述,['座椅'],,,
DIALECT-e5107114,今儿个限行尾号是啥,DIALECT,traffic_query,general,2,北京话'今儿个'替代'今天',['限行'],,,
DIALECT-c6ab4bec,给整点带劲的音乐,DIALECT,music_play,general,2,北方方言'带劲'替代'动感'的形容词,['音乐'],,,
DIALECT-8e93e280,车后头有东西没得,DIALECT,surrounding_check,general,2,西南官话'没得'替代'有没有',['雷达'],,,
DIALECT-9e5eb9ff,把空调调低点儿呗,DIALECT,ac_temp_adjust,general,2,北方'点儿呗'复合语气词表达请求,['空调'],,,
TYPO-80d510e4,导行到天安门广场,TYPO,navigation,general,2,'导航'误写为同音字'导行',['同音错别字'],,,
TYPO-fcc0c05a,打开音月播放器,TYPO,music_control,general,2,'音乐'误写为同音字'音月',['同音错别字'],,,
TYPO-23d4705a,请打 开空调,TYPO,air_control,general,2,'打开'中间误加空格,['空格误用'],,,
TYPO-fe57d5e3,帮我导杭到火车站,TYPO,navigation,general,2,'导航'误写为形近字'导杭',['形近错别字'],,,
TYPO-e676b761,把温度挑到24度,TYPO,air_control,general,2,'调'误写为同音字'挑',['同音错别字'],,,
TYPO-2dd80d2d,我想听周杰抡的歌,TYPO,music_control,general,2,'伦'误写为形近字'抡',['形近错别字'],,,
TYPO-3a439ad2,打开座椅 加热,TYPO,seat_control,general,2,'座椅加热'中间误加空格,['空格误用'],,,
TYPO-6a770758,导航去西佔南广场,TYPO,navigation,general,2,'站'误写为同音字'佔',['同音错别字'],,,
