case_id,query,intent_expected,action_expected,domain,test_type,context,group_id,difficulty,design_logic,tags,meta,expected_intent,step
fallback_intent-82583277,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,BASE,,,2,模板填充生成基础表达,"['general', 'BASE']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,
fallback_intent-934ed4fb,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,BASE,,,2,模板填充生成基础表达,"['general', 'BASE']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,
fallback_intent-5b40328c,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,BASE,,,2,模板填充生成基础表达,"['general', 'BASE']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,
fallback_intent-f580b419,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,BASE,,,2,模板填充生成基础表达,"['general', 'BASE']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,
fallback_intent-934b02d4,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,BASE,,,2,模板填充生成基础表达,"['general', 'BASE']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,
fallback_intent-85420461,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,SYN,,,2,同义表达改写,"['general', 'SYN']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,
fallback_intent-0f465b13,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,SYN,,,2,同义表达改写,"['general', 'SYN']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,
fallback_intent-3f40d795,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,SYN,,,2,同义表达改写,"['general', 'SYN']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,
fallback_intent-2c928639,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,SYN,,,2,同义表达改写,"['general', 'SYN']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,
fallback_intent-2059aa11,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,SYN,,,2,同义表达改写,"['general', 'SYN']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,
fallback_intent-01f50621,智能家居语音助·手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,TYPO,,,3,TYPO 变体,"['general', 'TYPO']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,
fallback_intent-6f968305,智能家居语音助手，控制灯光/空调/扫地机器人，并支持·闲聊与安全测试,fallback_intent,,general,TYPO,,,3,TYPO 变体,"['general', 'TYPO']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,
fallback_intent-42533de7,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试，拜托啦,fallback_intent,,general,SLANG,,,3,SLANG 变体,"['general', 'SLANG']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,
fallback_intent-9c4889d9,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试，劳驾,fallback_intent,,general,SLANG,,,3,SLANG 变体,"['general', 'SLANG']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,
fallback_intent-72031005,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,DIALECT,,,3,DIALECT 变体,"['general', 'DIALECT']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,
fallback_intent-e8a008ef,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,DIALECT,,,3,DIALECT 变体,"['general', 'DIALECT']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,
