case_id,query,intent_expected,action_expected,domain,test_type,context,group_id,difficulty,design_logic,tags,meta,type,expected_intent,step
fallback_intent-571e3e02,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,BASE,,,2.0,模板填充生成基础表达,"['general', 'BASE']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-bcfef075,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,BASE,,,2.0,模板填充生成基础表达,"['general', 'BASE']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-fb33a189,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,BASE,,,2.0,模板填充生成基础表达,"['general', 'BASE']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-a257d056,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,BASE,,,2.0,模板填充生成基础表达,"['general', 'BASE']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-096c9bb9,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,BASE,,,2.0,模板填充生成基础表达,"['general', 'BASE']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-ed72cfad,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,SYN,,,2.0,同义表达改写,"['general', 'SYN']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-43963411,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,SYN,,,2.0,同义表达改写,"['general', 'SYN']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-8e79a413,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,SYN,,,2.0,同义表达改写,"['general', 'SYN']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-4d1f3431,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,SYN,,,2.0,同义表达改写,"['general', 'SYN']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-e87c4bff,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,SYN,,,2.0,同义表达改写,"['general', 'SYN']",{'template': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-e0291d32,智能家居语音助手，控制灯光/空调/扫地机器人，并支·持闲聊与安全测试,fallback_intent,,general,TYPO,,,3.0,TYPO 变体,"['general', 'TYPO']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-e317e6c6,智能家居语音助手，控制灯光·/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,TYPO,,,3.0,TYPO 变体,"['general', 'TYPO']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-453f0b95,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试，嗯,fallback_intent,,general,SLANG,,,3.0,SLANG 变体,"['general', 'SLANG']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-cad72bbe,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试，然后,fallback_intent,,general,SLANG,,,3.0,SLANG 变体,"['general', 'SLANG']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-9adb3e00,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,DIALECT,,,3.0,DIALECT 变体,"['general', 'DIALECT']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-eb9cb45b,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,DIALECT,,,3.0,DIALECT 变体,"['general', 'DIALECT']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-6af5b10b,拜托…智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,NOISE,,,3.0,NOISE 变体,"['general', 'NOISE']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-d78011a2,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试呗,fallback_intent,,general,NOISE,,,3.0,NOISE 变体,"['general', 'NOISE']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-009b5141,智能家居语音助手，控制灯光/空调/扫地机·器人，并支持闲聊与安全测试,fallback_intent,,general,TYPO,,,3.0,TYPO 变体,"['general', 'TYPO']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-68e7878f,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全·测试,fallback_intent,,general,TYPO,,,3.0,TYPO 变体,"['general', 'TYPO']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-a6e37593,嗯…智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,SLANG,,,3.0,SLANG 变体,"['general', 'SLANG']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-1e0f1912,麻烦你…智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,SLANG,,,3.0,SLANG 变体,"['general', 'SLANG']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-b00d3c26,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,DIALECT,,,3.0,DIALECT 变体,"['general', 'DIALECT']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-d39444ba,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,DIALECT,,,3.0,DIALECT 变体,"['general', 'DIALECT']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-d83c3355,智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试嘛,fallback_intent,,general,NOISE,,,3.0,NOISE 变体,"['general', 'NOISE']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
fallback_intent-25c56431,嗯…智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试,fallback_intent,,general,NOISE,,,3.0,NOISE 变体,"['general', 'NOISE']",{'base': '智能家居语音助手，控制灯光/空调/扫地机器人，并支持闲聊与安全测试'},,,
