case_id,query,intent_expected,action_expected,domain,test_type,context,group_id,difficulty,design_logic,tags,meta,type,expected_intent,step
播放_音乐-e5791a25,切到轻松风格,播放_音乐,,MEDIA,BASE,,,2.0,模板填充生成基础表达,"['MEDIA', 'BASE']",{'template': '切到{mood}风格'},,,
播放_音乐-31384e7e,切到安静风格,播放_音乐,,MEDIA,BASE,,,2.0,模板填充生成基础表达,"['MEDIA', 'BASE']",{'template': '切到{mood}风格'},,,
播放_音乐-8101feb4,来点R&B音乐,播放_音乐,,MEDIA,BASE,,,2.0,模板填充生成基础表达,"['MEDIA', 'BASE']",{'template': '来点{genre}音乐'},,,
播放_音乐-ba71ffe5,来点摇滚音乐,播放_音乐,,MEDIA,BASE,,,2.0,模板填充生成基础表达,"['MEDIA', 'BASE']",{'template': '来点{genre}音乐'},,,
播放_音乐-13edf3d8,播放林俊杰的歌,播放_音乐,,MEDIA,BASE,,,2.0,模板填充生成基础表达,"['MEDIA', 'BASE']",{'template': '播放{artist}的歌'},,,
播放_音乐-274c6c08,换到安静风格,播放_音乐,,MEDIA,SYN,,,2.0,同义表达改写,"['MEDIA', 'SYN']",{'template': '切到{mood}风格'},,,
播放_音乐-3ac6f56a,放点摇滚音乐,播放_音乐,,MEDIA,SYN,,,2.0,同义表达改写,"['MEDIA', 'SYN']",{'template': '来点{genre}音乐'},,,
播放_音乐-a4a87841,播放薛之谦的歌,播放_音乐,,MEDIA,SYN,,,2.0,同义表达改写,"['MEDIA', 'SYN']",{'template': '播放{artist}的歌'},,,
播放_音乐-e97a82f1,播放王菲的歌,播放_音乐,,MEDIA,SYN,,,2.0,同义表达改写,"['MEDIA', 'SYN']",{'template': '播放{artist}的歌'},,,
播放_音乐-a9e7a894,播放王菲的歌,播放_音乐,,MEDIA,SYN,,,2.0,同义表达改写,"['MEDIA', 'SYN']",{'template': '播放{artist}的歌'},,,
播放_音乐-da8868be,切到·轻松风格,播放_音乐,,MEDIA,TYPO,,,3.0,TYPO 变体,"['MEDIA', 'TYPO']",{'base': '切到轻松风格'},,,
播放_音乐-bab44ad1,切到·轻松风格,播放_音乐,,MEDIA,TYPO,,,3.0,TYPO 变体,"['MEDIA', 'TYPO']",{'base': '切到轻松风格'},,,
播放_音乐-dbb5d967,麻烦你…切到轻松风格,播放_音乐,,MEDIA,SLANG,,,3.0,SLANG 变体,"['MEDIA', 'SLANG']",{'base': '切到轻松风格'},,,
播放_音乐-5d3c9c4a,切到轻松风格，劳驾,播放_音乐,,MEDIA,SLANG,,,3.0,SLANG 变体,"['MEDIA', 'SLANG']",{'base': '切到轻松风格'},,,
播放_音乐-7d8d7612,切到轻松风格,播放_音乐,,MEDIA,DIALECT,,,3.0,DIALECT 变体,"['MEDIA', 'DIALECT']",{'base': '切到轻松风格'},,,
