case_id,query,expected_intent,test_type,domain,difficulty,design_logic,tags
BASE-ed39182d,头疼怎么办呀,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-66841ec6,拉肚子吃什么药见效快,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-52e342f2,喉咙痛还发烧需要去医院吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-45befd62,被烫伤起水泡怎么处理,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-ff1c3975,孕妇能吃布洛芬吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-3bd852ca,小孩咳嗽有痰该咋办,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-b94ed404,吃头孢后喝酒会怎样,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-670f8f0c,伤口化脓了怎么消毒,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-c6379f53,眼睛红肿发痒是怎么回事,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-5915eeed,月经推迟十天了正常吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-25193e92,胃痛反酸该吃什么药,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-a3dbc753,过敏起红疹怎么止痒,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-b9e53c3d,拔牙后一直出血怎么办,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-c92c4539,吃了过期药会中毒吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-3f40d79d,血压突然升高怎么应急,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-b4b2163c,割到手流血不止咋处理,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-4a785f7d,长期失眠该吃什么助眠,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-53464f67,糖尿病能吃香蕉吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-8a32dd14,心跳特别快要挂急诊吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-904e7943,哺乳期感冒能喂奶吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-54b2d382,脚扭伤肿了怎么冷敷,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-51450d55,吃了海鲜全身起疹子,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-c706712b,头晕恶心是不是中暑了,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-94b33be8,宝宝发烧39度咋降温,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-f4431c38,骨折后需要打石膏吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-7a921257,肚子绞痛还拉稀怎么办,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-93e032d9,流鼻血仰头有用吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-95a77109,备孕期间能拍X光吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-9c23df55,手上长小水泡特别痒,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-ec31a46e,打疫苗后发烧正常吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-dc2fae93,老人突然说不出话咋办,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
