case_id,query,test_type,expected_intent,domain,difficulty,design_logic,tags,context,group_id,step
BASE-948aef6a,打开天窗,BASE,车控,general,2,基础车控指令,['车控'],,,
BASE-45780e59,空调调到22度,BASE,车控,general,2,温度调节功能,['车控'],,,
BASE-285597ba,座椅通风开最大档,BASE,车控,general,2,座椅控制进阶指令,['车控'],,,
BASE-0f1d2804,胎压正常吗,BASE,用车问题,general,2,车辆状态查询,['用车'],,,
BASE-bcc2e759,疲劳驾驶怎么办,BASE,健康咨询,general,2,驾驶健康场景,['健康'],,,
BASE-5c0aefd9,生成山水风景图,BASE,生图,general,2,图像生成基础指令,['生图'],,,
BASE-3a5b2958,玩成语接龙,BASE,游戏,general,2,语言类游戏触发,['游戏'],,,
BASE-25f37796,今天天气怎么样,BASE,闲聊,general,2,日常闲聊场景,['闲聊'],,,
BASE-fae3aeff,后视镜加热怎么开,BASE,车控,general,2,特殊车控功能,['车控'],,,
BASE-6ec73492,推荐附近的加油站,BASE,用车问题,general,2,导航辅助功能,['用车'],,,
BASE-cfc36445,晕车吃什么好,BASE,健康咨询,general,2,健康饮食咨询,['健康'],,,
BASE-dd75aa37,画个小狗在草地上,BASE,生图,general,2,具象图像生成,['生图'],,,
BASE-66bb9bc3,我要猜谜语,BASE,游戏,general,2,益智游戏触发,['游戏'],,,
BASE-caca6e3d,讲个冷笑话,BASE,闲聊,general,2,娱乐性对话需求,['闲聊'],,,
BASE-8c1a2bca,主驾座椅往前调,BASE,车控,general,2,精细化座椅控制,['车控'],,,
BASE-628578fe,发动机故障灯亮了,BASE,用车问题,general,2,故障报警场景,['用车'],,,
BASE-a3475c7a,开车腰疼怎么办,BASE,健康咨询,general,2,驾驶健康痛点,['健康'],,,
BASE-e81317de,生成科技感中控台,BASE,生图,general,2,专业图像生成需求,['生图'],,,
BASE-0799cbbb,玩数字华容道,BASE,游戏,general,2,逻辑类游戏触发,['游戏'],,,
BASE-dcf4d44e,现在几点钟了,BASE,闲聊,general,2,基础信息查询,['闲聊'],,,
BASE-39abbfa8,切换运动模式,BASE,车控,general,2,驾驶模式切换,['车控'],,,
BASE-cd9c2f1b,雨刷怎么换档位,BASE,用车问题,general,2,车辆操作指导,['用车'],,,
