case_id,query,test_type,expected_intent,domain,difficulty,design_logic,tags,context,group_id,step
BASE-d55af088,导航到首都机场T3,BASE,路线规划,导航,2,基本导航指令，明确目的地,['核心功能'],,,
BASE-279b76ef,去中关村怎么走最快,BASE,路线规划,导航,2,路径优化需求（时间维度）,['条件筛选'],,,
BASE-520280c7,查看回家路线有没有堵车,BASE,实时路况,导航,2,路况查询与常用路线结合,[],,,
BASE-c95e6f65,附近有没有加油站,BASE,周边搜索,导航,2,基础POI搜索,['紧急场景'],,,
BASE-4ae45471,推荐国贸商城的停车场,BASE,停车场推荐,导航,2,明确商业体的停车需求,[],,,
BASE-5f78e85f,把导航音量调大点,BASE,语音导航设置,导航,2,基础设置参数调整,['交互控制'],,,
BASE-bef3308f,走京藏高速现在堵吗,BASE,实时路况,导航,2,特定路段实时查询,['高速路况'],,,
BASE-2fe1b763,找最近的二甲医院,BASE,周边搜索,导航,2,医疗类POI精确搜索,['紧急场景'],,,
BASE-5b5c2bf0,避开拥堵路段重新规划,BASE,路线规划,导航,2,动态路径优化,['智能避堵'],,,
BASE-d7a07cf0,三里屯哪有充电桩,BASE,周边搜索,导航,2,新能源车特定设施搜索,[],,,
BASE-56665912,换回标准女声播报,BASE,语音导航设置,导航,2,语音类型切换,['个性化'],,,
BASE-f32ff46e,去鸟巢走五环还是四环,BASE,路线规划,导航,2,多路径选择询问,['决策辅助'],,,
BASE-1e499fc1,现在去大兴机场要多久,BASE,路线规划,导航,2,行程时间预估,['时间预测'],,,
BASE-8e508a30,查看前方三公里路况,BASE,实时路况,导航,2,距离限定路况查询,[],,,
BASE-51d7a563,找带充电桩的停车场,BASE,停车场推荐,导航,2,复合条件停车需求,['新能源车'],,,
BASE-eec523d9,切换成简洁播报模式,BASE,语音导航设置,导航,2,播报风格设置,['交互偏好'],,,
BASE-69347c49,带我去最近的麦当劳,BASE,周边搜索,导航,2,连锁餐饮搜索,['餐饮需求'],,,
BASE-9ba21502,去八达岭长城路线,BASE,路线规划,导航,2,景点导航需求,['旅游场景'],,,
BASE-a10816b1,现在走哪条路最快到,BASE,路线规划,导航,2,即时路径优化,['动态规划'],,,
BASE-f0dcaaf4,有没有避开收费的路,BASE,路线规划,导航,2,经济路线偏好,['成本控制'],,,
BASE-b7c23b6f,朝阳大悦城停车推荐,BASE,停车场推荐,导航,2,大型商圈停车需求,[],,,
BASE-c07fac9c,静音导航怎么关掉,BASE,语音导航设置,导航,2,功能开关操作,['模式切换'],,,
BASE-34b6b805,望京soho附近路况,BASE,实时路况,导航,2,区域路况查询,['商圈路况'],,,
BASE-54ea2550,找24小时营业药店,BASE,周边搜索,导航,2,时间限定搜索,['紧急场景'],,,
BASE-ac7c82aa,去颐和园走哪条门进,BASE,路线规划,导航,2,景区入口选择,['细节导航'],,,
BASE-30a97e13,当前路线有施工吗,BASE,实时路况,导航,2,道路施工信息查询,[],,,
BASE-f749e981,切换夜间导航模式,BASE,语音导航设置,导航,2,场景化模式切换,['视觉优化'],,,
BASE-3001ce73,积水潭医院停车状况,BASE,停车场推荐,导航,2,医疗场所停车查询,['医院场景'],,,
BASE-a6ef3d9d,去动物园走哪个出口,BASE,路线规划,导航,2,高速出口选择,['精准导航'],,,
BASE-5ecccf68,现在走的路限行吗,BASE,实时路况,导航,2,限行政策查询,['交规查询'],,,
BASE-77bb0e83,找带厕所的服务区,BASE,周边搜索,导航,2,高速服务区设施搜索,['长途驾驶'],,,
BASE-db79c8d3,导航播报太慢了调快,BASE,语音导航设置,导航,2,播报节奏调整,['交互优化'],,,
BASE-cbb1c16b,去798艺术区怎么走,BASE,路线规划,导航,2,文化区域导航,[],,,
BASE-73209998,看看长安街实时路况,BASE,实时路况,导航,2,主干道路况监控,['城市主干道'],,,
BASE-c67212d6,推荐便宜点的停车场,BASE,停车场推荐,导航,2,经济型停车需求,['成本控制'],,,
BASE-cc8e10d2,用林志玲语音导航,BASE,语音导航设置,导航,2,明星语音包选择,['个性化'],,,
BASE-e27c5124,去南站走地面还是高架,BASE,路线规划,导航,2,路径类型选择,['决策辅助'],,,
BASE-cb153f7a,前方路段有事故吗,BASE,实时路况,导航,2,突发事件查询,['安全驾驶'],,,
BASE-20c5e5e7,找宠物友好餐厅,BASE,周边搜索,导航,2,特色商户搜索,['生活服务'],,,
BASE-27d4c9a8,国家博物馆停车攻略,BASE,停车场推荐,导航,2,文化场所停车需求,[],,,
BASE-38dc27b1,导航声音太小了,BASE,语音导航设置,导航,2,音量问题反馈,['交互优化'],,,
BASE-16592605,走五环现在堵不堵,BASE,实时路况,导航,2,环路路况查询,['城市快速路'],,,
BASE-70787c16,去欢乐谷怎么绕开堵点,BASE,路线规划,导航,2,主动避堵策略,['智能规划'],,,
BASE-d71992b4,哪里有核酸检测点,BASE,周边搜索,导航,2,特殊时期需求,['医疗相关'],,,
BASE-3679f143,北京西站停车推荐,BASE,停车场推荐,导航,2,交通枢纽停车,['接驳场景'],,,
BASE-772d3567,关闭路口放大图提示,BASE,语音导航设置,导航,2,视觉提示控制,['显示设置'],,,
BASE-de36a02e,去天安门广场路线,BASE,路线规划,导航,2,地标性建筑导航,['旅游场景'],,,
BASE-236f27f8,现在走的路有摄像头吗,BASE,实时路况,导航,2,道路设施查询,['驾驶安全'],,,
BASE-8eed7530,找可以开发票的加油站,BASE,周边搜索,导航,2,企业用户需求,['商务需求'],,,
BASE-db0dc05e,奥林匹克公园停车位,BASE,停车场推荐,导航,2,大型公园停车,[],,,
BASE-c8859550,改用广东话播报,BASE,语音导航设置,导航,2,方言支持需求,['本地化'],,,
BASE-6c68f50f,去十渡的最优路线,BASE,路线规划,导航,2,郊区旅游路线,['长途驾驶'],,,
BASE-9ea11458,京承高速现在通畅吗,BASE,实时路况,导航,2,出城高速路况,['高速路况'],,,
BASE-9c4c2158,找带儿童座椅的租车点,BASE,周边搜索,导航,2,亲子出行需求,['家庭场景'],,,
BASE-61d8b581,朝阳医院停车困难吗,BASE,停车场推荐,导航,2,就医停车焦虑,['医院场景'],,,
BASE-c0985627,播报时不要打断音乐,BASE,语音导航设置,导航,2,多媒体协同控制,['系统联动'],,,
BASE-19df5e82,去慕田峪长城路线,BASE,路线规划,导航,2,远郊景点导航,['旅游场景'],,,
BASE-4f33d930,东三环现在拥堵级别,BASE,实时路况,导航,2,路况分级查询,[],,,
BASE-4b429f49,找电动车维修点,BASE,周边搜索,导航,2,车辆应急需求,['故障处理'],,,
BASE-58c6f864,金融街附近停车推荐,BASE,停车场推荐,导航,2,商务区停车需求,['办公场景'],,,
BASE-9469c746,恢复默认导航设置,BASE,语音导航设置,导航,2,系统重置功能,['设置管理'],,,
BASE-3274bff9,导航到最近的加油站,BASE,路线规划,导航,2,验证基础路线规划能力及POI识别,"['加油站', '紧急场景']",,,
BASE-e63834cc,现在这条路堵不堵车,BASE,实时路况,导航,2,测试实时路况主动感知能力,['通勤场景'],,,
BASE-d3476780,找附近能停车的露天停车场,BASE,停车场推荐,导航,2,验证多条件组合搜索能力,['停车刚需'],,,
SYN-9886ba50,导航到最近的加油站怎么走,SYN,路线规划,导航,2,使用'导航到'替代'怎么去'并添加'最近的'修饰,[],,,
SYN-3690fdeb,去朝阳医院最快的路线是啥,SYN,路线规划,导航,2,口语化'啥'替代'什么'，添加'最快'修饰,[],,,
SYN-974cdc76,现在走京藏高速堵不堵,SYN,实时路况,导航,2,用'堵不堵'替代'拥堵情况'并添加时间词'现在',[],,,
SYN-03542055,帮我查下附近的中餐馆,SYN,周边搜索,导航,2,'查下'替代'找'，添加'帮我'礼貌用语,[],,,
SYN-311c4d10,这附近哪里有停车场,SYN,停车场推荐,导航,2,'这附近'替代'附近'，'哪里'替代'哪有',[],,,
SYN-d8d69336,语音导航能换郭德纲的吗,SYN,语音导航设置,导航,2,'能换'替代'切换'，添加明星名字,[],,,
SYN-67af696b,咋去望京soho啊,SYN,路线规划,导航,2,方言'咋'替代'怎么'，添加语气词'啊',[],,,
SYN-0878f2ba,避开堵车路段怎么设置,SYN,实时路况,导航,2,'堵车路段'替代'拥堵'，添加'怎么设置',[],,,
SYN-f6b00755,周边三公里有充电站吗,SYN,周边搜索,导航,2,添加'三公里'距离限定词,[],,,
SYN-d52c522f,哪个停车场现在有空位,SYN,停车场推荐,导航,2,'有空位'替代'推荐'，添加时间词'现在',[],,,
SYN-fd195d35,把导航语音调小点儿,SYN,语音导航设置,导航,2,'调小点儿'口语化程度描述,[],,,
SYN-3b55cfa5,去机场走哪条高速最快,SYN,路线规划,导航,2,添加'高速'限定词，'最快'替代'最优',[],,,
SYN-ff39831d,北五环现在堵车严重吗,SYN,实时路况,导航,2,添加'严重'程度词，具体道路名称,[],,,
SYN-c5a78cd5,附近哪有24小时便利店,SYN,周边搜索,导航,2,'哪有'替代'查找'，添加营业时间限定,[],,,
SYN-b7bdd151,推荐个停车费便宜的停车场,SYN,停车场推荐,导航,2,添加'停车费便宜'属性限定,[],,,
SYN-819e8816,导航声音能不能再大点,SYN,语音导航设置,导航,2,'能不能'替代'可以'，'大点'程度描述,[],,,
SYN-7136aeed,去国贸怎么不堵车,SYN,路线规划,导航,2,'怎么不堵车'替代'避开拥堵路线',[],,,
SYN-51920fd4,东三环现在路况怎么样,SYN,实时路况,导航,2,'路况怎么样'替代'是否拥堵',[],,,
SYN-0589a66f,帮我找附近的充电桩,SYN,周边搜索,导航,2,'帮我找'替代'搜索'，具体设施名称,[],,,
SYN-f8baa75c,哪里有免费停车的地方,SYN,停车场推荐,导航,2,'免费'替代'推荐'，'地方'替代'场',[],,,
SYN-988276a0,切换成林志玲语音导航,SYN,语音导航设置,导航,2,'切换成'替代'使用'，明星姓名替换,[],,,
SYN-5920ad8c,去西单大悦城咋走最快,SYN,路线规划,导航,2,'咋走'方言替代，添加'最快'限定,[],,,
SYN-fe3638bf,现在哪个路段最畅通,SYN,实时路况,导航,2,'最畅通'替代'不堵车'的正面表达,[],,,
SYN-d4401398,附近哪里有星巴克,SYN,周边搜索,导航,2,具体品牌名称检索，'哪里'替代'哪有',[],,,
SYN-eebfa5b2,医院附近停车场好停吗,SYN,停车场推荐,导航,2,'好停吗'替代'推荐'，添加场所限定,[],,,
SYN-ad55b786,导航语音太慢了能改吗,SYN,语音导航设置,导航,2,问题反馈式表达替代直接设置,[],,,
SYN-64d99f42,去奥森公园怎么走不堵,SYN,路线规划,导航,2,'不堵'简写替代'避开拥堵',[],,,
SYN-d3f64335,京承高速现在堵不堵,SYN,实时路况,导航,2,重复'堵'字的口语化强调,[],,,
SYN-4100ddd5,周围有什么好吃的馆子,SYN,周边搜索,导航,2,'馆子'替代'餐厅'的口语化表达,[],,,
SYN-d28066fa,商场附近哪有停车场,SYN,停车场推荐,导航,2,添加'商场'场所限定，'哪有'替代'推荐',[],,,
SYN-db56984f,导航能不能用方言播报,SYN,语音导航设置,导航,2,'方言'替代具体语音类型描述,[],,,
SYN-36b76b60,带我去朝阳大悦城怎么走,SYN,路线规划,导航,2,'带我去'替代'导航到'的拟人化表达,[],,,
SYN-2848cd27,长安街现在交通状况如何,SYN,实时路况,导航,2,'交通状况'替代'路况'的正式表达,[],,,
SYN-bc28ba5a,附近哪有卖烟的便利店,SYN,周边搜索,导航,2,添加商品属性限定条件,[],,,
SYN-e9beb447,景区附近停车位多不多,SYN,停车场推荐,导航,2,'多不多'替代'推荐'的数量询问,[],,,
SYN-a6a907c1,导航提示音太吵了咋关,SYN,语音导航设置,导航,2,问题反馈式表达结合方言'咋',[],,,
SYN-e8b149d2,去首都机场走哪条路快,SYN,路线规划,导航,2,单字'快'替代'最快'的口语简略,[],,,
SYN-3f14b4b5,北四环这会儿堵得厉害吗,SYN,实时路况,导航,2,'这会儿'替代'现在'，'厉害'程度词,[],,,
SYN-bb71e533,帮我找个最近的厕所,SYN,周边搜索,导航,2,'厕所'替代'卫生间'，添加'帮我',[],,,
SYN-76ba6680,医院门口好停车吗现在,SYN,停车场推荐,导航,2,场所限定'门口'，倒装时间词,[],,,
SYN-17b354b4,导航用粤语怎么说,SYN,语音导航设置,导航,2,'怎么说'替代'切换'的间接请求,[],,,
SYN-43a0baf0,去鸟巢走哪条道不堵,SYN,路线规划,导航,2,'道'替代'路'，'不堵'简略表达,[],,,
SYN-6cc72557,东二环当前通行顺畅吗,SYN,实时路况,导航,2,'当前'替代'现在'，'顺畅'正面描述,[],,,
SYN-e0de65e6,附近哪有卖早餐的地儿,SYN,周边搜索,导航,2,'地儿'方言替代'地方'，时间限定,[],,,
SYN-849d0769,火车站附近停车贵不贵,SYN,停车场推荐,导航,2,费用询问替代推荐，'贵不贵'口语,[],,,
SYN-4aeafec6,导航播报能不能再快点,SYN,语音导航设置,导航,2,'快点'双关语义（语速/反应速度）,[],,,
SYN-f3cd3e59,去颐和园咋走最省时间,SYN,路线规划,导航,2,'省时间'替代'最快'的同义表达,[],,,
SYN-afa166d2,南三环现在车多不多,SYN,实时路况,导航,2,'车多不多'替代'是否拥堵',[],,,
SYN-91fa98a8,游乐场停车场还有位子吗,SYN,停车场推荐,导航,2,'位子'替代'车位'，场所限定,[],,,
SYN-bd3e0119,导航音量调到最大,SYN,语音导航设置,导航,2,直接指令式表达替代询问,[],,,
SYN-8b3f5414,去798怎么走不绕远,SYN,路线规划,导航,2,'不绕远'替代'最短距离',[],,,
SYN-523bd035,西直门桥现在好走吗,SYN,实时路况,导航,2,'好走'替代'畅通'的通俗表达,[],,,
SYN-8de495c3,附近哪里能修车,SYN,周边搜索,导航,2,动词'修车'替代名词'修车店',[],,,
SYN-e429bd9a,机场停车场收费多少,SYN,停车场推荐,导航,2,费用询问替代直接推荐,[],,,
SYN-c2600646,导航用英语怎么说,SYN,语音导航设置,导航,2,语言切换的间接请求方式,[],,,
SYN-6313105f,去南站走哪不堵车啊,SYN,路线规划,导航,2,添加语气词'啊'，省略'路',[],,,
SYN-a14ab332,现在哪个环路最堵,SYN,实时路况,导航,2,'环路'统称替代具体道路名称,[],,,
SYN-ef1cc8d1,导航换个男声行不行,SYN,语音导航设置,导航,2,性别特征替代具体声音类型,[],,,
SYN-2154f98f,北六环现在事故多吗,SYN,实时路况,导航,2,事故情况替代拥堵查询,[],,,
SYN-4f373ca8,周围有没有宠物医院,SYN,周边搜索,导航,2,'有没有'替代'查找'的确认式,[],,,
SYN-1482a392,商场地下停车场开放没,SYN,停车场推荐,导航,2,询问开放状态替代推荐,[],,,
SYN-b005505c,导航静音模式怎么开,SYN,语音导航设置,导航,2,具体模式设置询问,[],,,
SYN-3c8c150f,去杭州西湖应该怎么走,SYN,路线规划,导航,2,替换动词'规划'为'怎么走'，调整疑问词序,['地点+路线'],,,
SYN-61ed0170,这附近哪有停车场啊,SYN,停车场推荐,导航,2,口语化替换'有没有'为'哪有'，添加语气词'啊',['近场搜索'],,,
NOISE-5a42fe6a,呃导航到虹桥火车站怎么走啊,NOISE,路线规划,导航,2,句首加入思考词'呃'，模拟用户犹豫场景,['犹豫词'],,,
NOISE-a5b2fb3f,帮我找一下附近嘛停车场,NOISE,停车场推荐,导航,2,在方位词后插入语气词'嘛',['语气词'],,,
NOISE-35cefa45,现在去机场那个路况怎么样,NOISE,实时路况,导航,2,在核心名词前加入指示词'那个',['冗余词'],,,
NOISE-87ca8b08,然后然后周边有没有充电站啊,NOISE,周边搜索,导航,2,重复连接词模拟口吃现象,['重复词'],,,
NOISE-37ad5f2c,避开高速吧应该怎么设置,NOISE,语音导航设置,导航,2,在需求后追加不确定语气词'吧应该',['推测词'],,,
NOISE-55201bda,我要去外滩然后呃怎么走最快,NOISE,路线规划,导航,2,在连接词后追加思考词'呃',['双重停顿'],,,
NOISE-86b45158,附近有没有然后加油站呀,NOISE,周边搜索,导航,2,在功能词前插入无意义'然后',['冗余词'],,,
NOISE-d2f539f1,语音播报能不能声音大点那个,NOISE,语音导航设置,导航,2,句尾追加指示词'那个'形成疑问,['尾词干扰'],,,
NOISE-e6f23ddf,去迪士尼乐园停车场还有多远啊,NOISE,停车场推荐,导航,2,加入'还有'表示持续状态,['状态词'],,,
NOISE-fec80f46,现在那个去机场的路堵吗,NOISE,实时路况,导航,2,在方位词前插入'那个'干扰,['冗余定语'],,,
NOISE-081cc84e,帮我查下人民广场附近嘛餐厅,NOISE,周边搜索,导航,2,在地标后插入语气词'嘛',['语气干扰'],,,
NOISE-8e20327c,呃高速公路优先需要怎么设置呢,NOISE,语音导航设置,导航,2,句首思考词'呃'开启提问,['起始犹豫'],,,
NOISE-8f9f48d3,去虹桥机场然后那个避开拥堵,NOISE,路线规划,导航,2,双重连接词'然后那个'干扰,['双重冗余'],,,
NOISE-dede928e,现在延安高架是不是很堵啊,NOISE,实时路况,导航,2,加入'是不是'形成冗余疑问,['冗余疑问'],,,
NOISE-31d973f1,最近的然后充电站还有多少公里,NOISE,周边搜索,导航,2,在形容词后插入无意义'然后',['插入干扰'],,,
NOISE-0e4838cf,车要加油哪里有然后停车场啊现在,NOISE,停车场推荐,导航,2,前因后果叙述中加入'然后'和时间词,['叙事干扰'],,,
NOISE-8075d7c5,语音导航那个音量可以调大吗,NOISE,语音导航设置,导航,2,在功能名前加'那个'形成指代,['指代冗余'],,,
NOISE-e370edc5,去南京东路步行街怎么走啊然后,NOISE,路线规划,导航,2,句尾追加'然后'形成未完成感,['未完成句'],,,
NOISE-91617abd,现在高架上的情况怎样呃实时更新,NOISE,实时路况,导航,2,在需求后插入'呃'分割语句,['语句分割'],,,
NOISE-93369eae,附近有没有药店呀那个急需,NOISE,周边搜索,导航,2,在句尾追加'那个'和紧急说明,['追加信息'],,,
NOISE-a2831fbc,大型停车场推荐几个然后现在,NOISE,停车场推荐,导航,2,在数量请求后追加时间词'现在',['时间冗余'],,,
NOISE-e8308095,路线偏好设置那个在哪里改,NOISE,语音导航设置,导航,2,在功能名后插入'那个'加强疑问,['强调疑问'],,,
NOISE-525cb5d4,呃去陆家嘴最快的路有没有,NOISE,路线规划,导航,2,用'呃'开头配合省略句式,['省略句式'],,,
NOISE-409d5c50,现在世纪大道堵不堵车啊,NOISE,实时路况,导航,2,'堵不堵车'口语化变形,['口语变形'],,,
NOISE-6df49d36,帮我找找然后便利店24小时的,NOISE,周边搜索,导航,2,在动词后插入无意义'然后',['动作干扰'],,,
NOISE-bf3ed96a,东方明珠附近停车场收费便宜的,NOISE,停车场推荐,导航,2,口语化倒装句式设计,['倒装句式'],,,
NOISE-48774062,导航播报能不能然后详细点,NOISE,语音导航设置,导航,2,在情态动词后插入'然后'干扰,['情态干扰'],,,
NOISE-7c541b6f,去迪士尼怎么走啊那个最快路线,NOISE,路线规划,导航,2,追加'那个'强调特定需求,['追加强调'],,,
NOISE-354ae631,现在高架上的情况嘛怎样了,NOISE,实时路况,导航,2,在主语后插入语气词'嘛',['主语分割'],,,
NOISE-49036ee5,附近有没有银行啊要ATM的,NOISE,周边搜索,导航,2,追加补充说明形成复杂需求,['复合需求'],,,
NOISE-8fd5b0e7,浦东机场停车场现在有空位吗,NOISE,停车场推荐,导航,2,在名词后插入时间词'现在',['时间插入'],,,
NOISE-13e237f4,语音提示音量然后怎么调节,NOISE,语音导航设置,导航,2,在功能名后插入'然后'干扰理解,['功能干扰'],,,
SLANG-139e2943,这地儿咋走最快啊,SLANG,路线规划,导航,2,使用'咋走'替代'怎么走'，'地儿'代替'地方'，符合北方口语习惯,['方言'],,,
SLANG-effed327,麻溜给找个不堵的道儿,SLANG,实时路况,导航,2,'麻溜'强化急切感，'道儿'代替'路线'体现俚语特征,['语气词'],,,
SLANG-889fcea4,附近哪旮瘩有加油站,SLANG,周边搜索,导航,2,'哪旮瘩'使用东北方言替换'哪里'，增加地域特色,['方言'],,,
SLANG-a8c38694,给整个停车的地库呗,SLANG,停车场推荐,导航,2,'整个'替代'推荐'，'地库'代替'停车场'更口语化,['简写'],,,
SLANG-57bcced4,导航音量往大了整,SLANG,语音导航设置,导航,2,'往大了整'替代'调高'，体现直白表达方式,['语气词'],,,
SLANG-9afa96a5,这路堵不堵啊现在,SLANG,实时路况,导航,2,叠词'堵不堵'和'现在'倒装，模拟自然询问语气,['倒装句'],,,
SLANG-f6fe5c2a,找家能撸串的地儿,SLANG,周边搜索,导航,2,'撸串'使用年轻人流行语替代'烧烤',['网络用语'],,,
SLANG-4efee252,停车场要带充电桩的,SLANG,停车场推荐,导航,2,'带'替代'配备'，缩短表达长度,['简写'],,,
